"","AgeingGenes"
"1","MTOR"
"2","ZMPSTE24"
"3","KCNA3"
"4","SHC1"
"5","LMNA"
"6","PARP1"
"7","SIRT1"
"8","PLAU"
"9","PTEN"
"10","HELLS"
"11","ARNTL"
"12","CAT"
"13","ARHGAP1"
"14","UCP2"
"15","FOXM1"
"16","FGF23"
"17","EPS8"
"18","PAWR"
"19","SOCS2"
"20","IGF1"
"21","NCOR2"
"22","KL"
"23","TPP2"
"24","IRS2"
"25","AKT1"
"26","TP53BP1"
"27","NEIL1"
"28","POLG"
"29","IGF1R"
"30","STUB1"
"31","ERCC4"
"32","COQ7"
"33","CTF1"
"34","TERF2"
"35","BRCA1"
"36","COL1A1"
"37","RPS6KB1"
"38","PPM1D"
"39","CSH1"
"40","CSHL1"
"41","GH1"
"42","SIRT7"
"43","SIRT6"
"44","INSR"
"45","JUND"
"46","GDF15"
"47","CEBPA"
"48","APOE"
"49","ERCC2"
"50","ERCC1"
"51","FGF21"
"52","BAX"
"53","SIGLEC9"
"54","SIGLEC7"
"55","SIGLEC8"
"56","SIGLEC12"
"57","MSH2"
"58","EFEMP1"
"59","MGAT5"
"60","MSTN"
"61","FN1"
"62","XRCC5"
"63","IRS1"
"64","PER2"
"65","GHRH"
"66","CEBPB"
"67","RBM38"
"68","PCK1"
"69","TOP3B"
"70","MIF"
"71","CHEK2"
"72","XRCC6"
"73","POU1F1"
"74","ADCY5"
"75","MCM2"
"76","ATR"
"77","AGTR1"
"78","EIF5A2"
"79","TP63"
"80","CLOCK"
"81","HNRNPD"
"82","CISD2"
"83","SLC25A4"
"84","TERT"
"85","RICTOR"
"86","GHR"
"87","CDK7"
"88","PROP1"
"89","SQSTM1"
"90","EEF1E1"
"91","UBD"
"92","CDKN1A"
"93","HTR1B"
"94","ATG5"
"95","SOD2"
"96","GHRHR"
"97","SERPINE1"
"98","PRKAR2B"
"99","CAV1"
"100","SLC13A1"
"101","CASP2"
"102","NOS3"
"103","MSRA"
"104","ADRA1A"
"105","MTBP"
"106","DGAT1"
"107","TOPORS"
"108","FXN"
"109","CDC14B"
"110","XPA"
"111","TXN"
"112","PAPPA"
"113","SURF1"
"114","DMD"
"115","PARK7"
"116","SDHB"
"117","FABP3"
"118","HDAC1"
"119","PRDX1"
"120","ELAVL4"
"121","PRKAA2"
"122","HOOK1"
"123","JAK1"
"124","PRKACB"
"125","GCLM"
"126","AHCYL1"
"127","MAN1A2"
"128","SDHC"
"129","DHX9"
"130","TRDMT1"
"131","ITGB1"
"132","MAPK8"
"133","EIF4EBP2"
"134","VCL"
"135","AP3M1"
"136","ILK"
"137","PEX16"
"138","DGKZ"
"139","PRPF19"
"140","DAGLA"
"141","PRDX5"
"142","PYGM"
"143","ATG2A"
"144","SCYL1"
"145","RPS6KB2"
"146","NADSYN1"
"147","GYS2"
"148","DNM1L"
"149","GPD1"
"150","PCBP2"
"151","SIRT4"
"152","VPS33A"
"153","PGAM5"
"154","SGCG"
"155","SLC25A30"
"156","PYGL"
"157","SMOC1"
"158","ATG2B"
"159","SMAD3"
"160","AP3B2"
"161","TSC2"
"162","E4F1"
"163","SLC7A5"
"164","YWHAE"
"165","GABARAP"
"166","ULK2"
"167","NF1"
"168","ACLY"
"169","EZH1"
"170","ERN1"
"171","SMAD2"
"172","AP3D1"
"173","GIPC3"
"174","ELAVL1"
"175","ELAVL3"
"176","HOOK2"
"177","PRKACA"
"178","GIPC1"
"179","JAK3"
"180","TGFB1"
"181","GYS1"
"182","XDH"
"183","PCBP1"
"184","MTHFD2"
"185","RPIA"
"186","NPAS2"
"187","SH3RF3"
"188","MAIP1"
"189","BZW1"
"190","NDUFS1"
"191","PYGB"
"192","ATP5F1E"
"193","CBSL"
"194","SOD1"
"195","CBS"
"196","PCBP3"
"197","TSPO"
"198","MAPK11"
"199","ATG7"
"200","ATG3"
"201","PIK3CB"
"202","RGS12"
"203","MTHFD2L"
"204","COQ2"
"205","WDFY3"
"206","MAPK10"
"207","SH3RF1"
"208","SNX25"
"209","PRKAA1"
"210","CERT1"
"211","AP3B1"
"212","SGCD"
"213","ECI2"
"214","MAPK14"
"215","GNMT"
"216","GCLC"
"217","HDAC2"
"218","MAN1A1"
"219","FABP7"
"220","UTRN"
"221","PCMT1"
"222","PRKN"
"223","SMOC2"
"224","BZW2"
"225","VPS41"
"226","GCK"
"227","NSUN5"
"228","AHCYL2"
"229","DGKI"
"230","EZH2"
"231","CDK5"
"232","SGCZ"
"233","POLR3D"
"234","EIF4EBP1"
"235","AP3M2"
"236","HOOK3"
"237","ATP6V1H"
"238","UQCRB"
"239","JAK2"
"240","ELAVL2"
"241","TGFBR1"
"242","HSPA5"
"243","TSC1"
