Label,Test,DIP Ranking,GO Raking,Average Ranking,DIP Prob (Original),GO Prob (Original),Average Prob (from originals GO and DIP),DIP Prob (Normalised),GO Prob (Normalised),Average Prob (from normalised GO and DIP)
INSR,1,28,2,7,0.887968931,0.694477291,0.791223111,0.903312655,0.984634681,0.943973668
GNAI2,1,1,7,11.5,0.982579715,0.653688837,0.818134276,1,0.876391296,0.938195648
GNAI3,1,3,10,14.5,0.981347239,0.643166153,0.812256696,0.998740473,0.848466459,0.923603466
GNAO1,1,7,15,20,0.959476905,0.632344409,0.795910657,0.976390119,0.819747985,0.898069052
SLC2A4,1,5,17,23.5,0.966783784,0.627863377,0.79732358,0.983857372,0.807856334,0.895856853
ATG5,1,33,8,41,0.879485966,0.652458395,0.76597218,0.894643502,0.87312598,0.883884741
GNAI1,1,4,25,37.5,0.980428346,0.613462203,0.796945274,0.997801412,0.769638856,0.883720134
GOT2,0,37,11,15,0.867176616,0.639999796,0.753588206,0.882063981,0.84006366,0.86106382
GNA11,1,14,30,45.5,0.934602716,0.609172375,0.771887546,0.95096998,0.758254619,0.8546123
GOT1,0,87,3,11.5,0.748087533,0.679965559,0.714026546,0.760361075,0.946123807,0.853242441
SLC2A10,1,11,34,54.5,0.939906281,0.605683836,0.772795058,0.95638995,0.74899682,0.852693385
SLC2A1,1,8,41,54.5,0.949901864,0.600856425,0.775379145,0.966604921,0.736185958,0.851395439
TSC1,0,6,53,63,0.962076853,0.592555595,0.777316224,0.979047132,0.714157421,0.846602277
CTH,0,21,27,36.5,0.91188202,0.611452767,0.761667393,0.927750599,0.764306266,0.846028433
GABARAP,1,15,37,52,0.933968676,0.602773915,0.768371296,0.950322024,0.741274544,0.845798284
GABARAPL2,1,12,52,62.5,0.937024233,0.593157082,0.765090657,0.953444645,0.715753634,0.834599139
GNAZ,1,20,48,64,0.918298459,0.597628851,0.757963655,0.934307869,0.727620702,0.830964286
SLC2A2,1,2,85,108,0.982080876,0.570575854,0.776328365,0.999490212,0.655828132,0.827659172
GABARAPL1,1,24,42,56,0.903552127,0.60066647,0.752109298,0.919237878,0.735681859,0.827459868
PRKAA1,1,23,44,59.5,0.90409279,0.599196757,0.751644773,0.919790407,0.731781572,0.82578599
GCLM,0,19,58,73,0.929466624,0.587326799,0.758396711,0.945721158,0.700281373,0.823001266
GNAQ,1,38,26,52.5,0.86167192,0.613186085,0.737429002,0.876438465,0.768906102,0.822672283
GNA15,1,35,32,50,0.873562025,0.608190027,0.740876026,0.88858954,0.755647688,0.822118614
GNA14,1,30,45,73.5,0.887237846,0.598416875,0.74282736,0.902565524,0.729711939,0.816138732
ATG7,1,70,16,33.5,0.796270205,0.631241445,0.713755825,0.809601283,0.816820967,0.813211125
SLC2A8,1,16,72,88.5,0.932444296,0.575399234,0.753921765,0.948764185,0.668628298,0.808696242
SLC2A12,1,16,75,92,0.932444296,0.574215693,0.753329994,0.948764185,0.665487446,0.807125816
IRS2,0,81,14,19.5,0.763996798,0.634534681,0.69926574,0.776619524,0.825560474,0.801089999
SESN2,0,151,1,4.5,0.593120023,0.700267277,0.64669365,0.601992266,1,0.800996133
SLC2A9,1,9,92,109,0.940375874,0.565155173,0.752765523,0.95686985,0.641442864,0.799156357
GNA12,1,66,21,26,0.799618759,0.61798783,0.708803294,0.813023332,0.781648853,0.797336093
GNAT3,1,60,28,50.5,0.817446631,0.610405085,0.713925858,0.831242498,0.761525952,0.796384225
SLC2A7,1,13,98,189.5,0.936621427,0.563477116,0.750049272,0.953032999,0.636989678,0.795011338
TSC2,1,25,77,299,0.901225156,0.5737033,0.737464228,0.916859834,0.664127671,0.790493752
GLUD1,1,50,46,65.5,0.836981835,0.59829177,0.717636802,0.85120647,0.72937994,0.790293205
SLC2A6,1,18,106,180,0.93014763,0.559724415,0.744936023,0.946417112,0.627030852,0.786723982
SLC2A3,1,26,84,97,0.8971685,0.571333283,0.734250892,0.91271414,0.657838179,0.78527616
RRAGD,0,34,70,87.5,0.878120712,0.577889459,0.728005086,0.893248283,0.675236795,0.784242539
IRS1,0,89,18,25.5,0.741339576,0.625880222,0.683609899,0.75346501,0.802593488,0.778029249
GNA13,1,42,63,81,0.849669687,0.583066579,0.716368133,0.864172801,0.688975708,0.776574254
IGF1,0,105,12,19,0.700274092,0.639961047,0.670117569,0.711498202,0.83996083,0.775729516
SLC2A14,1,10,132,255,0.940082366,0.547506243,0.743794304,0.956569899,0.594606573,0.775588236
RAB7A,1,27,107,199,0.89038465,0.558865565,0.724625108,0.905781395,0.624751658,0.765266527
SOD2,1,32,102,127,0.880386588,0.5620758,0.721231194,0.895563891,0.633270901,0.764417396
RRAGC,0,45,74,95,0.843940998,0.574703164,0.709322081,0.858318377,0.666781085,0.762549731
GNAT1,1,91,23,30,0.736923999,0.614862518,0.675893259,0.748952519,0.773354979,0.761153749
GNAT2,1,92,24,34.5,0.734255857,0.614481651,0.674368754,0.746225815,0.772344244,0.75928503
GSTP1,0,56,68,85.5,0.823235235,0.580020352,0.701627793,0.837158154,0.680891705,0.759024929
GAPDH,1,58,69,86.5,0.821861439,0.578382665,0.700122052,0.835754205,0.676545653,0.756149929
NOS3,0,149,5,11.5,0.609123139,0.659153372,0.634138255,0.618346625,0.890892943,0.754619784
RRAGA,1,55,71,87,0.823528618,0.575967574,0.699748096,0.837457976,0.670136545,0.75379726
GCK,1,148,6,11,0.609401823,0.654238661,0.631820242,0.618631427,0.877850407,0.748240917
RRAGB,1,46,99,193.5,0.842295725,0.563372064,0.702833894,0.856636992,0.636710893,0.746673942
ATG3,0,31,139,157,0.885615644,0.543503273,0.714559458,0.900907716,0.58398359,0.742445653
BECN2,1,95,35,51,0.727911071,0.603048541,0.665479806,0.739741771,0.74200334,0.740872555
MDH1,0,65,83,105.5,0.804300892,0.571420183,0.687860537,0.81780823,0.658068792,0.737938511
RHEB,1,22,187,413.5,0.908293544,0.531075335,0.71968444,0.924083362,0.551002639,0.737543
ATP6V0A2,0,67,80,179.5,0.797826484,0.572777231,0.685301858,0.81119172,0.661670091,0.736430905
GNAS,0,98,39,54,0.722947467,0.601352227,0.662149847,0.734669223,0.737501705,0.736085464
CBS,1,57,100,123.5,0.822018112,0.562578147,0.69229813,0.835914317,0.634604017,0.735259167
