,labels_0,labels_1,labels_2,labels_3,labels_4,labels_5,labels_6,labels_7,labels_8,labels_9
0,ZMPSTE24,ARNTL,KCNA3,MTOR,LMNA,PARP1,PTEN,UCP2,SHC1,SIRT1
1,ERCC4,CAT,NCOR2,NEIL1,PLAU,HELLS,FOXM1,TP53BP1,FGF23,ARHGAP1
2,SIRT7,STUB1,IGF1R,COL1A1,EPS8,PAWR,SOCS2,TERF2,POLG,TPP2
3,ERCC2,RPS6KB1,FGF21,SIGLEC9,COQ7,IGF1,IRS2,BAX,PPM1D,AKT1
4,IRS1,CSH1,MSH2,POU1F1,CSHL1,KL,GDF15,CAV1,EFEMP1,BRCA1
5,CISD2,INSR,FN1,MCM2,GH1,CTF1,MIF,SLC13A1,PCK1,CEBPA
6,CDKN1A,MGAT5,XRCC5,SERPINE1,JUND,SIRT6,CHEK2,NOS3,TP63,APOE
7,ATG5,MSTN,TOP3B,PRKAR2B,ERCC1,SIGLEC8,EIF5A2,ADRA1A,TXN,SIGLEC12
8,GHRHR,GHRH,MSRA,MTBP,SIGLEC7,PER2,HNRNPD,EIF4EBP2,PARK7,RBM38
9,CDC14B,CEBPB,FXN,DGAT1,ADCY5,TOPORS,SLC25A4,PEX16,PRKACB,AGTR1
10,FABP3,XRCC6,XPA,SDHC,ATR,PAPPA,CDK7,EZH1,GCLM,CASP2
11,HDAC1,CLOCK,HOOK1,TRDMT1,UBD,SURF1,PROP1,SNX25,DHX9,SDHB
12,ELAVL4,TERT,JAK1,MAPK8,SOD2,ILK,SQSTM1,UTRN,SCYL1,PRPF19
13,VCL,RICTOR,ITGB1,DGKZ,AHCYL1,PYGL,EEF1E1,HOOK3,RPS6KB2,ATG2A
14,AP3M1,GHR,PRDX5,SMAD2,MAN1A2,ULK2,DMD,MECR,GYS2,SMOC1
15,DAGLA,HTR1B,GPD1,ATG7,PCBP2,MTHFD2,PRDX1,LRIG2,PGAM5,AP3B2
16,VPS33A,PRKAA2,SGCG,WDFY3,ELAVL1,COQ2,SIRT4,PRKAB2,SLC25A30,YWHAE
17,TSC2,PYGM,ATG2B,CERT1,HOOK2,MAPK14,E4F1,CERS2,GABARAP,PRKACA
18,TGFB1,NADSYN1,NF1,MAN1A1,GIPC1,POLR3D,SLC7A5,INSRR,ERN1,PCBP1
19,NDUFS1,DNM1L,JAK3,FABP7,XDH,AP3M2,GYS1,TIMM17A,NPAS2,PIK3CB
20,ECI2,SMAD3,ATP5F1E,CHD5,RPIA,ATAD3C,MAIP1,DEGS1,TSPO,MTHFD2L
21,GCLC,ACLY,CBSL,RCAN3,MAPK11,ATAD3B,CBS,POLR3A,PRKAA1,PCMT1
22,SGCZ,AP3D1,PCBP3,AGO1,ATG3,HSPG2,MAPK10,MAT1A,SGCD,AHCYL2
23,ELAVL2,ELAVL3,RGS12,NDUFS2,CDK5,RPS8,SH3RF1,LIPF,VPS41,ATP6V1H
24,HSPA5,SH3RF3,HDAC2,FMO2,UQCRHL,POLR3C,SMOC2,SLC25A28,NSUN5,TSC1
25,PRPF38A,PYGB,EZH2,ERO1B,BRDT,FMO5,BZW2,PPFIBP2,UQCRB,CCNL2
26,VANGL2,SOD1,JAK2,TIMM23,NRAS,MRPL24,DGKI,CHEK1,TGFBR1,MAN1C1
27,TRIM67,AP3B1,ALDH4A1,LIPN,ATP1A1,FMO3,ATAD3A,CD9,TARDBP,SESN2
28,GDI2,GNMT,KIF17,BUB3,SOAT1,AKT3,AGO4,KRAS,ATP5PB,CTH
29,PRKCQ,PRKN,AGO3,RPS3,RGS7,KIN,SRSF11,YARS2,VANGL1,NPR1
30,NDUFV1,GCK,TRIT1,PPFIBP1,BECN2,SGPL1,LRRN2,ERBB3,ATP1A2,ARL8A
31,DYNC2H1,EIF4EBP1,MAGOH,WASHC3,LIPJ,PPP3CB,HHAT,PTGES3,LHX9,RBBP5
32,DLAT,SLC25A14,GNG12,HCFC2,EIF3A,CYP2C18,PTCHD3,TSPAN8,TBCE,OGDHL
33,APLP2,SLC66A1,SLC25A44,MLXIP,NRXN2,FADS2,PRKG1,PRKAB1,GLUD1,HRAS
