,labels_0,labels_1,labels_2,labels_3,labels_4,labels_5,labels_6,labels_7,labels_8,labels_9
0,ACSL4,ABCC5,AFG3L2,ABCC11,ABCC10,ACE2,ACBD7,ACHE,ACAT1,ACSS2
1,ADARB1,AHCYL2,AKR1D1,ACSL3,ACTR1A,ACER3,ACLY,ACSS1,AKR1B15,ADRA1A
2,AGPAT5,AKR1C3,AKT1,AGO2,ADA,ACOX3,ACTR1B,ADCY5,AKR1C4,AGTR1
3,AKR1B10,ARF3,ALDH4A1,AGO4,AIFM1,AGMO,AKR1A1,AGO1,ALG10B,AK2
4,ALG5,ARHGAP1,ALG10,AKR1C1,ALDH1A2,AGO3,ALG12,AHCYL1,ARL8A,AKR1B1
5,AP3S1,ARHGDIG,AP1M1,AP3M2,ATIC,AKR1C2,AMD1,AP4B1,ARL8B,AKT3
6,ARHGDIB,ASH2L,AP3B1,ARNTL,ATP5PB,ALDH2,AP1S2,APRT,ATP5F1B,ALDH1A1
7,ATG3,ATP1A2,AP3B2,ATG4A,ATP6V0A2,ALG3,AP3D1,ARF1,BAX,ALDH1A3
8,ATG5,BANF1,APLP2,ATP10D,ATP6V1H,AMPD3,APP,ARRB2,BCHE,ALDH1B1
9,ATG7,BECN2,ARRB1,ATP1A1,BECN1,AP1M2,ATG2A,ATP2A2,CANT1,APEX1
10,ATP6V0A1,BUB3,ATAD3B,ATP2A3,CCS,AP3M1,ATG2B,ATP5F1E,CAV1,APOE
11,ATP7B,BUD31,ATG9A,ATP2C2,CHD1,ARIH2,ATG4B,ATP5PO,CBS,ARHGDIA
12,BRD2,CCT8,ATP2C1,ATP6V0A4,CLTC,ATG4D,ATP5F1A,CCT4,CEBPA,ARPC2
13,CALU,CDK7,BRCA1,ATP6V1B1,CYC1,ATP6V0D2,ATR,CD9,CSHL1,ATP2A1
14,CBSL,CEBPB,CBX1,ATP8B1,DCXR,ATXN3L,CLTCL1,CDC14B,CYP2A7,ATP5F1C
