,labels_0,labels_1,labels_2,labels_3,labels_4,labels_5,labels_6,labels_7,labels_8,labels_9
0,ZMPSTE24,PARP1,NEIL1,HELLS,MTOR,SIRT1,UCP2,ARNTL,SHC1,KCNA3
1,LMNA,GDF15,STUB1,CAT,KL,ARHGAP1,PAWR,TP53BP1,TERF2,PLAU
2,PTEN,SIGLEC9,SIGLEC12,IGF1,POLG,EPS8,SOCS2,COL1A1,INSR,FOXM1
3,IRS2,SIGLEC8,MGAT5,NCOR2,BRCA1,ERCC4,AKT1,CSH1,MSTN,FGF23
4,SIRT6,MSH2,TOP3B,TPP2,PPM1D,COQ7,IGF1R,FGF21,XRCC6,JUND
5,AGTR1,SLC25A4,TOPORS,CEBPA,RBM38,CTF1,ERCC1,ATG5,ATR,SIGLEC7
6,EIF5A2,RICTOR,PARK7,APOE,PCK1,RPS6KB1,BAX,PYGM,PROP1,EFEMP1
7,CDK7,SLC13A1,SDHB,ERCC2,MCM2,CSHL1,XRCC5,RPS6KB2,HTR1B,IRS1
8,CDKN1A,MTBP,ILK,MIF,SQSTM1,GH1,GHRH,E4F1,SURF1,POU1F1
9,PRKAR2B,DGAT1,DNM1L,TP63,JAK1,SIRT7,ADCY5,GIPC1,HDAC1,CLOCK
10,NOS3,XPA,AP3B2,EEF1E1,GCLM,FN1,HNRNPD,SH3RF3,ITGB1,GHR
11,CDC14B,PAPPA,ELAVL1,MSRA,EIF4EBP2,PER2,ELAVL4,RGS12,DGKZ,UBD
12,AHCYL1,PRDX1,ATG3,TXN,VCL,CEBPB,DHX9,TSC1,SCYL1,SOD2
13,SDHC,HOOK1,SGCD,PRKAA2,AP3M1,CHEK2,MAPK8,CCNL2,GYS2,GHRHR
14,PRDX5,PRPF19,AHCYL2,TRDMT1,NADSYN1,CISD2,PCBP2,AGO1,SIRT4,SERPINE1
15,ATG2A,VPS33A,SLC25A14,DAGLA,SGCG,TERT,ACLY,UQCRH,XDH,CAV1
16,YWHAE,PGAM5,RRAGC,SMAD3,EZH1,CASP2,SMAD2,MAGOH,RPIA,ADRA1A
17,ULK2,PYGL,RPS8,JAK3,HOOK2,PRKACB,AP3D1,SRSF11,MAIP1,FXN
18,NF1,SMOC1,VANGL1,TGFB1,ATP5F1E,PEX16,ELAVL3,NRAS,PIK3CB,DMD
19,ERN1,TSC2,FMO2,PYGB,PCBP3,GPD1,NDUFS1,FMO5,COQ2,FABP3
20,PRKACA,MTHFD2L,H3-3A,MAPK14,WDFY3,ATG2B,CBSL,TIMM17A,AP3B1,MAN1A2
21,MTHFD2,ECI2,GDI2,BZW2,CERT1,SLC7A5,TSPO,BECN2,GNMT,SLC25A30
22,NPAS2,UTRN,FADS3,CDK5,GCLC,GABARAP,SH3RF1,LIPM,DGKI,GYS1
23,MAPK10,POLR3D,RPS3,TARDBP,HOOK3,PCBP1,PRKAA1,TALDO1,EZH2,SOD1
24,SNX25,TGFBR1,DLAT,UQCRHL,ATAD3C,CBS,FABP7,MTCH2,EIF4EBP1,MAPK11
25,HDAC2,KIF17,MAGOHB,ALDH4A1,ATAD3A,ATG7,PRKN,PAK1,AP3M2,GCK
26,SMOC2,TRIT1,UBE2N,BRDT,SLC66A1,MAN1A1,UQCRB,ACAT1,ATP6V1H,CHD5
27,VPS41,VANGL2,DIS3,ATP5PB,HSPG2,PCMT1,AGO3,CERS5,ATAD3B,GNG12
28,SGCZ,PTCHD3,ERO1A,PRKAB2,MAN1C1,NSUN5,PABPC4,SOAT2,MECR,FMO4
29,ELAVL2,PPFIBP2,DICER1,TRIM67,SESN2,JAK2,INSRR,GLIPR1,CTH,ARL8A
30,AGO4,RCN1,ARHGDIG,PRKCQ,PRPF38A,HSPA5,FMO3,PPFIA2,ATP1A1,TBCE
31,CERS2,GAPDH,STX1B,TIMM23,LHX9,RCAN3,POLR3A,SLC25A3,SLC25A44,RGS7
32,LRRN2,CBX5,ABCC12,MAT1A,RBBP5,LRIG2,EIF5AL1,PRKAB1,MRPL24,KIN
33,HHAT,RAB5B,ATP2A3,LIPF,AKT3,POLR3C,GLUD1,IDH3A,NDUFS2,PPP3CB
34,OGDHL,LRIG3,ERBB2,BUB3,LIPA,NPR1,LIPN,RHOT2,SOAT1,CYP2C9
35,PRKG1,DNAJC15,CANT1,RDX,CYP2C8,ATP1A2,EIF3F,CCT6B,ERO1B,BTRC
36,LIPJ,RBM23,DCXR,CD9,SSRP1,DEGS1,FADS2,PHB,SGPL1,FADS1
37,CYP2C18,RGS6,GNAL,YARS2,GSTP1,LIPK,SESN3,NME1,HRAS,NRXN2
38,EIF3A,TARS3,ATP5F1A,ERBB3,NDUFS8,SLC25A28,CHEK1,CHMP6,GTF2H1,GDF11
39,CYP2E1,UQCRC2,LSM7,TSPAN8,DYNC2H1,SCD,PTGES3,AFG3L2,BANF1,ATP5F1B
40,NDUFV1,TUFM,SLC27A1,MVK,BCAT1,FEZ1,IFT88,RPL17,TMEM135,ATP2A2
41,PPFIA1,PDP2,EXOSC5,APEX1,ITPR2,EIF2S3B,PABPC3,GNA11,SLC36A4,DHX37
