,labels_0,labels_1,labels_2,labels_3,labels_4,labels_5,labels_6,labels_7,labels_8,labels_9
0,ACAT1,AKR1C4,ACTR1A,ABCC11,ACSS1,ABCC5,ACSL4,ACOX3,ACHE,ABCC10
1,ADRA1A,AKT3,ADA,ACE2,AGO3,ACSS2,AGTR1,ADARB1,ACLY,ACBD7
2,AGO4,AP3B2,ADCY5,ATAD3B,AGPAT5,AGO1,AIFM1,AKR1B1,ACSL3,ACER3
3,AKR1C2,APOE,AGMO,ATG4B,ALDH1A1,AHCYL1,AK2,ALDH1A3,ACTR1B,AFG3L2
4,ALDH2,ARHGDIG,AGO2,ATP1A2,ALG3,AKR1A1,AKR1D1,ALG5,AHCYL2,AKR1B15
5,ALDH4A1,ASH2L,ALDH1B1,ATP5F1C,ARNTL,AKR1B10,AKT1,AMPD3,AKR1C1,ALDH1A2
6,ALG10,ATG2A,AP1S2,ATP5PO,ATG9A,AP3D1,ALG12,ARL8B,AKR1C3,AP3S1
7,ALG10B,ATG4D,AP3B1,ATP6V1B2,ATIC,APRT,AP1M2,ATG7,AP3M1,AP4B1
8,AMD1,ATP6V0A4,AP3M2,ATP7B,ATP6V1B1,ARPC2,ARHGAP1,ATP1A1,APEX1,APP
9,AP1M1,BANF1,ARF1,BECN2,ATP6V1H,ATG3,ARL8A,ATP6V0A2,ARIH2,ARF3
10,APLP2,CERS4,ATP10D,BRD2,ATP8B1,ATP2A3,ARRB1,ATR,ATP2A1,ARHGDIA
11,ATG2B,CHEK1,ATP2C2,CBX3,ATXN3L,ATP2C1,ATP2A2,CBSL,ATP5F1B,ARHGDIB
12,ATG5,CUL1,ATP5F1E,CHD3,CALU,ATP7A,CBX5,CDC6,BRK1,ARRB2
13,ATP5F1A,CYP4X1,ATP5PB,CYP2A6,CAV1,CASP2,CCS,CEBPA,BUD31,ATG4A
14,BCAT1,DAGLB,ATP6V0A1,DCXR,CCT6A,CDS2,CERT1,CNOT6,CDK5,CAT
15,BTRC,DCUN1D5,ATP6V0D2,DIS3,CCT6B,CERS3,CHMP6,COX4I1,CDK7,CDS1
16,CDKN1A,DDX11,BAX,DPP4,CDC14B,CERS6,CLOCK,COX5B,CERS1,CISD2
17,CYB5R1,DHRS3,BCHE,DYNLL1,CERS2,COX4I2,CLTC,CSHL1,CHMP2B,CLN3
18,CYB5R3,DHX37,BECN1,EIF3F,CHD1,CS,CNGA2,CYCS,CLTCL1,COQ2
19,DBNL,DUSP12,BRCA1,FIS1,CHEK2,CYB5R2,CTH,CYP2C18,COL1A1,CSH1
20,DCUN1D2,DYNLL2,BUB3,FOXM1,CNDP2,CYP2F1,CYC1,CYP2C9,CYP2A13,DNM1L
21,DEGS1,ECI2,CANT1,GHR,COQ5,DDX39A,CYP2E1,DAGLA,CYP2A7,DYNC2H1
22,DENND6A,EGFR,CBS,GNG12,COQ7,DENND6B,DICER1,DDX39B,CYP2C8,EEF1E1
23,DNA2,EIF4A1,CBX1,GPT2,CRYAA,EIF2AK4,DNAJC15,DECR2,DGAT1,EIF3A
24,EEF1A2,EIF4A3,CCT4,GPX5,DCUN1D1,EIF2B5,E4F1,DEGS2,DGKZ,EIF3K
25,ELP3,EIF5B,CCT8,HCCS,DGKI,EIF4EBP2,EIF4EBP1,DMD,DHX9,ELOC
26,ERBB2,ERO1A,CD9,HCFC2,DLAT,FN1,ELP1,EIF1B,EEF2,ERO1B
27,ERBB4,EZH2,CEBPB,HDLBP,DLD,FXN,ERBB3,EIF5A2,EIF3B,FABP7
28,ERCC4,FBP1,CERS5,HIBADH,EEF1A1,GAPDHS,EXOSC5,ELAVL2,ERN1,FBXW11
29,FEN1,FMO5,COQ3,IDH3G,EIF2B4,GCK,EZH1,ERCC2,FADS1,FOLH1
30,FGF23,GDF15,CTF1,IFT52,ELAVL1,GCLM,FABP12,FABP9,FMO2,GABARAP
31,GNA14,GNAI1,DBI,IFT80,ERCC1,GNA11,FBP2,FADS2,FMO3,GIPC1
32,GNAI2,GNAT1,DCAF11,ING1,FABP3,GNAS,FBXO9,FGF21,GAPDH,GLIPR1
33,GNAQ,GPD1,DDX18,ITPR3,FADS3,GOT1,GABARAPL2,FH,GCLC,GNA12
34,GPT,GPX8,EIF2S3,KL,FIG4,HNRNPA1,GART,FMO4,GLUD1,GNAT3
35,GPX1,GRB2,EPS8,KRAS,GABARAPL1,HNRNPA3,GNAI3,FZR1,GNAZ,GYS1
36,GSTP1,HHAT,GDI1,LIPF,GH1,HOOK3,GNMT,GATB,GPX2,HDAC2
37,HOOK2,HOOK1,GDI2,MAP2K1,GLUD2,HSD17B4,GTF2H1,GDF11,GPX7,HSPA8
38,IFT172,HRAS,GHRH,MAPK8,GNA15,HSPA1L,HNRNPD,GNAL,HAT1,IDH2
39,IFT22,HSPA2,GNA13,MECR,GNAT2,HSPG2,HNRNPDL,GNAO1,HDAC1,IFT88
40,IFT57,HSPA9,GOT2,MVK,GPX4,IFT122,HSPA5,GNG7,HNRNPA2B1,IGF1
41,IMPA2,IDH1,GSK3B,NF1,HSPA6,ITGB1,HTR1B,GPD2,IARS2,INMT
42,LSM7,ITPR2,GTF2F1,NNMT,HUS1,KIN,HUS1B,GYS2,JAK3,INSR
43,MAPK12,KIF17,HSPA1A,PCMT1,IDH3A,MAN1C1,IGF1R,HELLS,LARS2,INSRR
44,MAPK3,LCP1,IDH3B,PDP2,ITPR1,MAPK11,ILK,HNRNPA1L2,MAPK14,IRS1
45,MAPK9,LMNA,IDNK,PGAM5,KCNA3,MAT2A,IRS2,HPGDS,MRPL2,JAK2
46,MDH1,LSM6,IDO2,PPFIA1,MRPS9,MPC1,KDM4C,IDO1,MSRA,LONP1
47,MDH2,MAT1A,IFT140,PPP4C,MSN,MRPL1,MAGOH,ISCA1,NDUFS1,MAIP1
48,MRPS5,MIF,JUND,PPP6C,MSTN,MRPS33,MAPK7,JAK1,NPR2,MAN1A1
49,NMT2,MPV17L2,KYNU,PRKAA2,MTHFD2,MSH2,MLXIPL,KRIT1,NUP85,MAN1A2
50,NPAS2,MTHFD2L,LIPA,PRKAB1,NAPA,MSH6,MTOR,LBR,PAPPA,MAP2K2
51,NPC1,NDUFS2,LTV1,PSMC3,NCOR2,MTCH1,NAPB,LRIG1,PCBP2,MAP2K4
52,PABPC1,NDUFV1,MAGT1,PTEN,NDUFA5,NAALAD2,NCBP2,MAD2L1,PCSK2,NADSYN1
53,PAK2,OGDH,MAN1B1,RBBP4,NDUFS4,NDUFS8,NEIL1,MAGOHB,PDIA4,NNT
54,PDIA2,PARVB,MAPK1,RCAN1,NME1,NMT1,PABPC3,MAPK10,PLAU,NOB1
55,PIK3C3,PDHA2,MCM2,RCAN3,NOP58,NUP155,PAK1,MGAT5,POLR3C,OGDHL
56,PIK3CA,PDIA3,MTHFD1L,RCL1,OPA1,NUP205,PAWR,MLXIP,POU1F1,PAK3
57,POLE3,PDP1,NOS3,RGS12,PABPC4,PCK1,PEMT,MRPL24,PPFIA3,PFAS
58,POLR1B,PER2,NPC1L1,RIMS1,PARK7,PDHA1,PGLS,NDUFB7,PRKAR2B,PHB
59,PRDX3,PPP4R3B,NRAS,RPL12,PPP3CB,PMS2,PPFIBP2,NPR1,PTPA,PLCB4
60,PRELID3A,PRDX1,P4HB,RPL30,PRDX5,PNPO,PRKAA1,PCBP1,RAB5A,POLG
61,PSMB5,PRKCD,PARP1,RPS11,PRKACA,POLR3D,PRKAR1A,PDPK1,RAD51,PPAT
62,RAB6B,PRKD1,PIK3CB,RPS18,PRPS2,PPFIA2,PRKAR2A,PEX16,RBBP5,PRKAB2
63,RHOT1,PRKG2,PNMT,RPS23,PSMD14,PPP3CA,PRKCQ,PHB2,RBM38,PRKACB
64,RPL13,PRMT1,POLR3A,RPS27,RAB5C,PRELID1,PRKD3,POLA1,RGS6,PRKACG
65,RPL17,PRPF19,POLR3B,RPS7,RACK1,PRKAG1,PSMD11,PPM1D,RPL21,PRPS1
66,RPL35,PRPF38A,PPFIBP1,RRAGB,RAD50,PRKAR1B,RHOT2,PRDX6,RPL26,RALB
67,RRM2,PSMC2,PPP3CC,RRAGC,RHEB,PRKN,ROCK1,PSMC1,RPL3,RCN1
68,SDHA,QRSL1,PPP4R3A,SBDS,RPL23,PRKX,RPL10,PYGL,RPL4,RNGTT
69,SERPINE1,RAB6A,PRDX2,SCD,RPL7,PSMA4,RPL19,PYGM,RPL9,RPL10A
70,SGCG,RALA,PRKG1,SHMT2,RPS16,PSMB8,RPL26L1,QPRT,RPS14,RPL34
71,SGPL1,RBMXL2,PSMC4,SIRT3,RPS6KB2,PSMC5,RPL7A,RAB5B,RPS26,RPLP1
72,SGPP2,RCAN2,PTGES3,SIRT6,SACM1L,PYGB,RPS15,RABGGTA,RPSA,SDHAF2
73,SLC13A1,RGS7,RAB10,SLC25A14,SCO1,RAB7A,RPS21,RICTOR,RRAGD,SESN1
74,SLC13A3,RPA1,RBBP7,SLC25A2,SGPP1,RPL35A,RPS3A,RPS15A,RRM1,SESN3
75,SLC20A2,RPL31,RDX,SLC25A29,SLC16A12,RPL37A,RPS4Y2,SH3RF1,SDHB,SGK1
76,SLC25A20,RPS20,RNASEH2A,SLC2A3,SLC16A3,RPLP2,RRAGA,SIGLEC7,SESN2,SGTA
77,SLC25A31,RPS4X,ROCK2,SLC2A5,SLC25A32,RPS12,SIRT4,SLC13A5,SIGLEC8,SHMT1
78,SLC25A6,RPS4Y1,RPIA,SLC66A1,SLC25A47,RPS8,SIRT7,SLC15A1,SKP1,SLC16A2
79,SLC27A6,RPS6KB1,RPL10L,SMN2,SLC27A1,SGCD,SLC12A2,SLC25A17,SLC16A13,SLC27A2
80,SLC6A4,SCD5,RPLP0,STK3,SLC27A4,SHC1,SLC16A7,SLC25A4,SLC25A16,SLC2A12
81,SMAD2,SIGLEC9,RPS3,STX1B,SLC2A7,SIGLEC12,SLC20A1,SLC27A5,SLC2A1,SLC2A2
82,SMC4,SIRT1,RPS6,STX4,SLC32A1,SLC13A2,SLC25A15,SLC2A14,SNX3,SLC2A8
83,SOAT1,SLC2A10,SDHC,TAOK2,SLC36A4,SLC15A2,SLC7A5,SLC2A4,SOD1,SMAD3
84,SOD2,SOAT2,SEL1L,TBL1X,SNAP25,SLC16A10,TDO2,SLC36A1,STX7,SNAP23
85,STX12,SOCS2,SLC12A1,TCIRG1,SQSTM1,SLC25A5,TERF2,SMARCA5,SURF1,SSRP1
86,SUCLA2,SRSF11,SLC2A13,TIAL1,STUB1,SLC2A9,TGFB1,SPTLC1,TBL1XR1,STX1A
87,TERT,SUCLG1,SLC2A6,TP53BP1,TALDO1,SMARCA1,TOP3B,SYMPK,TMF1,SYNJ1
88,TIMM17A,SUCLG2,SLC36A2,TP53I3,TIMM17B,SNF8,TP63,THUMPD1,TOMM22,TADA2B
89,TKTL2,SUPT4H1,STAM2,TPM1,TKT,STAM,TRIM9,TOPORS,TOMM70,TGFBR1
90,TSC2,SYNJ2,STK4,TPP2,TM7SF2,TAGLN2,TSC1,TPM3,TRDMT1,TPM4
91,UBD,TAT,STX2,TUFM,TRNT1,TCP1,UCKL1,TUT7,UBE2H,TSPO
92,UQCRC1,TSPAN8,TAOK1,TXN,UCP2,TIA1,USP13,UBE2M,UCHL3,UQCRQ
93,UQCRC2,TUSC3,TELO2,ULK2,UGCG,TOP1,USP14,UBE2N,UQCRH,VANGL2
