,labels_0,labels_1,labels_2,labels_3,labels_4,labels_5,labels_6,labels_7,labels_8,labels_9
0,ADRA1A,AGTR1,ACSL3,ABCC10,ALDH1B1,AIFM1,ACLY,ABCC11,ACBD7,ACAT1
1,AGO4,AKR1A1,ACSL4,ACHE,AP3D1,AKR1C4,ACTR1A,ABCC5,ACE2,ACTR1B
2,AHCYL1,ALDH1A1,AGMO,ADA,ARHGAP1,ALDH4A1,ADCY5,ACER3,ACOX3,ADARB1
3,AK2,ALDH1A2,AHCYL2,AGO3,ARHGDIG,AMPD3,AGO1,ACSS1,AKR1B1,AKR1C1
4,AKR1B15,ALG3,AKT3,AKR1C3,ARIH2,AP3B1,AGO2,ACSS2,AKR1D1,AP1M1
5,ALG10,ALG5,AP3M1,AKT1,ARPC2,AP3S1,AGPAT5,AFG3L2,ALDH1A3,APOE
6,ALG10B,AP4B1,AP3M2,ARF3,ATP1A1,APP,ALG12,AKR1B10,AP1S2,APRT
7,ARHGDIA,APEX1,ARRB1,ATP2A1,ATP5F1C,ARRB2,AMD1,AKR1C2,ARNTL,ARL8A
8,ARL8B,ARHGDIB,ATG4A,ATP2C2,ATP6V1H,ATG2A,AP1M2,ALDH2,ATG3,ATAD3B
9,ASH2L,ATG4B,ATP2A2,ATP5F1B,ATP8B1,ATG2B,APLP2,AP3B2,ATP5PO,ATP6V0A4
10,ATIC,BECN2,ATP6V0A2,BCHE,CBX1,ATG7,ARF1,ATG4D,ATP6V1B1,ATP6V0D2
11,ATP10D,CASP2,ATP7B,BRK1,CHMP2B,ATG9A,ATP5F1E,ATG5,CBX5,ATXN3L
12,BAX,CCS,ATR,CBS,COQ5,ATP7A,ATP5PB,ATP1A2,CDK7,BRCA1
13,CALU,CD9,CDK5,CBX3,COX4I1,BECN1,ATP6V1B2,ATP2A3,CDS2,BTRC
14,CAT,CEBPB,CHEK2,CCT6A,COX4I2,CERS4,BCAT1,ATP2C1,CEBPA,CANT1
15,CAV1,COQ7,CNGA2,CDS1,CYB5R1,CERT1,CCT8,ATP5F1A,CHMP6,CBSL
16,CDC14B,CSHL1,COL1A1,CISD2,DEGS1,CHD3,CDKN1A,ATP6V0A1,CLTC,CCT4
17,DDX18,CUL1,DAGLB,CLN3,DGAT1,CHEK1,CERS5,BANF1,CYB5R3,CCT6B
18,DENND6B,CYP2C18,DCUN1D1,CLOCK,DIS3,CNDP2,CLTCL1,BRD2,CYC1,CERS1
19,DHX9,DDX39B,DMD,COX5B,DLAT,CRYAA,COQ2,BUB3,CYP2A7,CERS2
20,DPP4,DECR2,DNAJC15,CSH1,DNA2,CS,CYCS,BUD31,DBI,CERS3
