"","Label","Test","Pred","Prob","Class"
"ACAT1","ACAT1",0,0,0.189112840979771,"NotCR"
"ADRA1A","ADRA1A",0,0,0.470231163661293,"NotCR"
"AGO4","AGO4",0,0,0.353638712392021,"NotCR"
"AKR1C2","AKR1C2",0,0,0.274548919362169,"NotCR"
"ALDH2","ALDH2",0,0,0.138221358327763,"NotCR"
"ALDH4A1","ALDH4A1",1,1,0.659302207379561,"CR"
"ALG10","ALG10",0,1,0.515292849909666,"NotCR"
"ALG10B","ALG10B",0,0,0.173505551569373,"NotCR"
"AMD1","AMD1",0,1,0.689185949519937,"NotCR"
"AP1M1","AP1M1",0,0,0.268821413595384,"NotCR"
"APLP2","APLP2",0,1,0.512382401506711,"NotCR"
"ATG2B","ATG2B",0,1,0.762008121176276,"NotCR"
"ATG5","ATG5",1,1,0.8794859659579,"CR"
"ATP5F1A","ATP5F1A",0,0,0.324992466794119,"NotCR"
"BCAT1","BCAT1",0,0,0.466468236831666,"NotCR"
"BTRC","BTRC",0,0,0.0939081818051435,"NotCR"
"CDKN1A","CDKN1A",0,0,0.251258451879091,"NotCR"
"CYB5R1","CYB5R1",0,1,0.575319045156883,"NotCR"
"CYB5R3","CYB5R3",0,0,0.405180368562885,"NotCR"
"DBNL","DBNL",0,0,0.401347298985647,"NotCR"
"DCUN1D2","DCUN1D2",0,1,0.515161388867178,"NotCR"
"DEGS1","DEGS1",0,0,0.164781720410595,"NotCR"
"DENND6A","DENND6A",0,1,0.634662474812475,"NotCR"
"DNA2","DNA2",0,0,0.385752164508862,"NotCR"
"EEF1A2","EEF1A2",0,0,0.407182100686774,"NotCR"
"ELP3","ELP3",0,1,0.515721238393523,"NotCR"
"ERBB2","ERBB2",0,0,0.182436448325477,"NotCR"
"ERBB4","ERBB4",0,0,0.38935817935844,"NotCR"
"ERCC4","ERCC4",0,0,0.404176166965524,"NotCR"
"FEN1","FEN1",0,0,0.304462343466559,"NotCR"
"FGF23","FGF23",0,0,0.267899191155589,"NotCR"
"GNA14","GNA14",1,1,0.887237846199226,"CR"
"GNAI2","GNAI2",1,1,0.982579714823158,"CR"
"GNAQ","GNAQ",1,1,0.861671919988801,"CR"
"GPT","GPT",0,1,0.7285304261257,"NotCR"
"GPX1","GPX1",0,0,0.448664860955025,"NotCR"
"GSTP1","GSTP1",0,1,0.823235235003746,"NotCR"
"HOOK2","HOOK2",0,1,0.531225079977719,"NotCR"
"IFT172","IFT172",0,0,0.34801805545656,"NotCR"
"IFT22","IFT22",0,0,0.319871540996542,"NotCR"
"IFT57","IFT57",0,0,0.323485652565088,"NotCR"
"IMPA2","IMPA2",0,0,0.446637588287758,"NotCR"
"LSM7","LSM7",0,0,0.201999103328055,"NotCR"
"MAPK12","MAPK12",0,0,0.168809026830533,"NotCR"
"MAPK3","MAPK3",0,0,0.0335301065537232,"NotCR"
"MAPK9","MAPK9",0,0,0.193264100374149,"NotCR"
"MDH1","MDH1",0,1,0.804300891572557,"NotCR"
"MDH2","MDH2",1,0,0.471592227031357,"CR"
"MRPS5","MRPS5",0,0,0.483806484562033,"NotCR"
"NMT2","NMT2",0,0,0.465901894221109,"NotCR"
"NPAS2","NPAS2",0,0,0.30483976662768,"NotCR"
"NPC1","NPC1",0,0,0.475263283277003,"NotCR"
"PABPC1","PABPC1",0,0,0.200456095043302,"NotCR"
"PAK2","PAK2",0,0,0.0756385269276707,"NotCR"
"PDIA2","PDIA2",0,0,0.341078991517066,"NotCR"
"PIK3C3","PIK3C3",1,0,0.452018306539454,"CR"
"PIK3CA","PIK3CA",1,0,0.0552275632163458,"CR"
