"","Feature","Definition","Score","CR.Mean","NonCR.mean","pvalue","padjust"
"1","GO:0055114","oxidation-reduction process",100,"19.3% {22/114}","11.58% {117/1010}",0.013,1
"2","GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway",70.965,"13.16% {15/114}","0.3% {3/1010}",9.72e-24,1.523124e-20
"3","GO:1904659","glucose transmembrane transport",67.831,"10.53% {12/114}","0% {0/1010}",2.4e-23,3.7608e-20
"4","GO:0007186","G protein-coupled receptor signaling pathway",53.516,"15.79% {18/114}","2.77% {28/1010}",7.73e-11,1.211291e-07
"5","GO:0008643","carbohydrate transport",51.516,"9.65% {11/114}","0.1% {1/1010}",2.24e-19,3.51008e-16
"6","GO:0016241","regulation of macroautophagy",37.308,"9.65% {11/114}","1.09% {11/1010}",1.84e-09,2.88328e-06
"7","GO:0008645","hexose transmembrane transport",34.479,"6.14% {7/114}","0% {0/1010}",1.77e-13,2.77359e-10
"8","GO:0006995","cellular response to nitrogen starvation",33.526,"6.14% {7/114}","0% {0/1010}",1.77e-13,2.77359e-10
"9","GO:0072659","protein localization to plasma membrane",33.12,"2.63% {3/114}","0.5% {5/1010}",0.024,1
"10","GO:0016226","iron-sulfur cluster assembly",32.983,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"11","GO:0030100","regulation of endocytosis",31.789,"3.51% {4/114}","0% {0/1010}",1.42e-07,0.000222514
"12","GO:0006897","endocytosis",31.337,"7.02% {8/114}","1.49% {15/1010}",0.000155,0.242885
"13","GO:0007193","adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway",30.604,"7.02% {8/114}","0.1% {1/1010}",1.41e-13,2.20947e-10
"14","GO:0007165","signal transduction",29.339,"19.3% {22/114}","8.91% {90/1010}",0.000411,0.644037
"15","GO:0000045","autophagosome assembly",28.967,"7.89% {9/114}","0.69% {7/1010}",4.84e-09,7.58428e-06
"16","GO:0006457","protein folding",28.754,"7.89% {9/114}","1.98% {20/1010}",0.000266,0.416822
"17","GO:0006730","one-carbon metabolic process",28.378,"1.75% {2/114}","0.79% {8/1010}",0.305,1
"18","GO:0055085","transmembrane transport",28.245,"12.28% {14/114}","6.14% {62/1010}",0.011,1
"19","GO:0008286","insulin receptor signaling pathway",27.552,"7.89% {9/114}","1.29% {13/1010}",3.89e-06,0.00609563
"20","GO:0006006","glucose metabolic process",25.603,"6.14% {7/114}","0.69% {7/1010}",3.01e-06,0.00471667
"21","GO:0017144","drug metabolic process",24.54,"1.75% {2/114}","0.4% {4/1010}",0.113,1
"22","GO:0042776","mitochondrial ATP synthesis coupled proton transport",23.595,"1.75% {2/114}","0.59% {6/1010}",0.209,1
"23","GO:1902600","proton transmembrane transport",23.33,"7.02% {8/114}","2.48% {25/1010}",0.008,1
"24","GO:0006979","response to oxidative stress",22.959,"7.02% {8/114}","2.57% {26/1010}",0.01,1
"25","GO:0005975","carbohydrate metabolic process",22.185,"7.89% {9/114}","2.28% {23/1010}",0.000899,1
"26","GO:0031929","TOR signaling",21.559,"3.51% {4/114}","0.5% {5/1010}",0.002,1
"27","GO:0006094","gluconeogenesis",21.517,"4.39% {5/114}","0.69% {7/1010}",0.000799,1
"28","GO:0006805","xenobiotic metabolic process",21.225,"1.75% {2/114}","1.19% {12/1010}",0.472,1
