,Feature,Definition,Score,CR.Mean,NonCR.mean,pvalue,padjust,
1,KEGG.2,Autophagy...animal,100,0.18% {20/110},0.04% {38/876},3.50E-04,0.50155,
2,KEGG.30,Longevity.regulating.pathway...multiple.species,45.349,0.13% {14/110},0.03% {23/876},0.002,1,
3,NetPath.23,BDNF,38.953,0.01% {1/110},0.01% {10/876},0.812,1,
4,REACTOME.10,Cellular.responses.to.external.stimuli,37.791,0.21% {23/110},0.09% {80/876},0.004,1,
5,WikiPathways.37,NRF2,34.884,0.15% {16/110},0.01% {10/876},1.39E-04,0.199187,
6,REACTOME.93,G.protein.mediated.events,34.884,0.09% {10/110},0.01% {10/876},0.005,1,
7,EHMN.13,Selenoamino.acid.metabolism,34.302,0.06% {7/110},0.01% {5/876},0.015,1,
8,ACSN2.11,ANTIOXIDANT_RESPONSE,34.302,0.08% {9/110},0.03% {30/876},0.08,1,
9,EHMN.11,Fructose.and.mannose.metabolism,34.302,0.11% {12/110},0% {0/876},4.00E-04,0.5732,
10,HumanCyc.11,nicotine.degradation.IV,32.558,0.05% {5/110},0% {2/876},0.033,1,
11,PID.12,LPA.receptor.mediated.events,32.558,0.11% {12/110},0.01% {7/876},0.001,1,
12,WikiPathways.8,Nuclear.Receptors.Meta.Pathway,30.814,0.16% {18/110},0.03% {25/876},2.64E-04,0.378312,
13,HumanCyc,superpathway.of.conversion.of.glucose.to.acetyl.CoA.and.entry.into.the.TCA.cycle,30.233,0.05% {5/110},0.02% {16/876},0.186,1,
14,KEGG.82,Amoebiasis,30.233,0.09% {10/110},0.01% {10/876},0.005,1,
15,Panther_Pathway.6,Heterotrimeric_G_protein_signaling_pathway_Gi_and_Gs_mediated,29.07,0.05% {5/110},0.03% {22/876},0.326,1,
16,KEGG.111,Autophagy...other,28.488,0.08% {9/110},0.01% {10/876},0.009,1,
17,EHMN.12,Galactose.metabolism,28.488,0.1% {11/110},0% {1/876},8.31E-04,1,
18,REACTOME.190,Cellular.hexose.transport,27.907,0.1% {11/110},0% {1/876},8.31E-04,1,
19,WikiPathways.14,Integrated.Breast.Cancer,27.907,0.06% {7/110},0.03% {26/876},0.161,1,
