"","Organism","Model","Human"
"1","Mus musculus","Rbp7","RBP7"
"2","Mus musculus","Map3k6","MAP3K6"
"3","Mus musculus","Cyp2j6","CYP2J2"
"4","Mus musculus","Nr1i3","NR1I3"
"5","Mus musculus","Fmo3","FMO3"
"6","Mus musculus","Rgs16","RGS16"
"7","Mus musculus","Mt2","MT1HL1"
"8","Mus musculus","Rhobtb1","RHOBTB1"
"9","Mus musculus","Mat1a","MAT1A"
"10","Mus musculus","Cyp2e1","CYP2E1"
"11","Mus musculus","Wee1","WEE1"
"12","Mus musculus","Cpt1a","CPT1A"
"13","Mus musculus","Zbtb16","ZBTB16"
"14","Mus musculus","Ntf3","NTF3"
"15","Mus musculus","Cd163","CD163"
"16","Mus musculus","Mgp","MGP"
"17","Mus musculus","Gys2","GYS2"
"18","Mus musculus","Aqp6","AQP6"
"19","Mus musculus","Tenc1","TNS2"
"20","Mus musculus","BC089597","RDH16"
"21","Mus musculus","Cry1","CRY1"
"22","Mus musculus","Sds","SDS"
"23","Mus musculus","Niacr1","HCAR2"
"24","Mus musculus","Niacr1","HCAR3"
"25","Mus musculus","Irs2","IRS2"
"26","Mus musculus","Nfkbia","NFKBIA"
"27","Mus musculus","Smoc1","SMOC1"
"28","Mus musculus","Acot4","ACOT4"
"29","Mus musculus","Decr2","DECR2"
"30","Mus musculus","Fam195a","MCRIP2"
"31","Mus musculus","Crym","CRYM"
"32","Mus musculus","Sall1","SALL1"
"33","Mus musculus","Mt2","MT2A"
"34","Mus musculus","Mt2","MT1E"
"35","Mus musculus","Mt2","MT1A"
"36","Mus musculus","Mt2","MT1F"
"37","Mus musculus","Mt2","MT1G"
"38","Mus musculus","Mt2","MT1H"
"39","Mus musculus","Mt2","MT1X"
"40","Mus musculus","Herpud1","HERPUD1"
"41","Mus musculus","Hsd17b2","HSD17B2"
"42","Mus musculus","Trp53i13","TP53I13"
"43","Mus musculus","Tob1","TOB1"
"44","Mus musculus","Plin4","PLIN4"
"45","Mus musculus","Plin5","PLIN5"
"46","Mus musculus","Angptl4","ANGPTL4"
"47","Mus musculus","Arrdc2","ARRDC2"
"48","Mus musculus","Slc25a42","SLC25A42"
"49","Mus musculus","Gm6957","SULT2A1"
"50","Mus musculus","Dbp","DBP"
"51","Mus musculus","Lpin1","LPIN1"
"52","Mus musculus","Abcg5","ABCG5"
"53","Mus musculus","Nat8","NAT8"
"54","Mus musculus","Cobll1","COBLL1"
"55","Mus musculus","Igfbp2","IGFBP2"
"56","Mus musculus","Per2","PER2"
"57","Mus musculus","Cbr1","CBR1"
"58","Mus musculus","Sun2","SUN2"
"59","Mus musculus","Ppara","PPARA"
"60","Mus musculus","Pim3","PIM3"
"61","Mus musculus","Hacl1","HACL1"
"62","Mus musculus","Fam107a","FAM107A"
"63","Mus musculus","Klf15","KLF15"
"64","Mus musculus","Ehhadh","EHHADH"
"65","Mus musculus","Adh1","ADH1A"
"66","Mus musculus","Adh1","ADH1B"
"67","Mus musculus","Adh1","ADH1C"
"68","Mus musculus","Agxt2l1","ETNPPL"
"69","Mus musculus","Pla2g12a","PLA2G12A"
"70","Mus musculus","Enpep","ENPEP"
"71","Mus musculus","Plcxd3","PLCXD3"
"72","Mus musculus","Acot12","ACOT12"
"73","Mus musculus","Ablim3","ABLIM3"
"74","Mus musculus","Dusp1","DUSP1"
"75","Mus musculus","Zfp354a","ZNF354A"
"76","Mus musculus","Fkbp5","FKBP5"
"77","Mus musculus","Ctgf","CCN2"
"78","Mus musculus","Gpr146","GPR146"
"79","Mus musculus","Inmt","INMT"
"80","Mus musculus","Adcy1","ADCY1"
"81","Mus musculus","Rhbdd2","RHBDD2"
"82","Mus musculus","Fzd1","FZD1"
"83","Mus musculus","Ifrd1","IFRD1"
"84","Mus musculus","Cyp7a1","CYP7A1"
"85","Mus musculus","Decr1","DECR1"
"86","Mus musculus","Klf10","KLF10"
"87","Mus musculus","Klf9","KLF9"
"88","Mus musculus","Aldh1a1","ALDH1A1"
"89","Mus musculus","Slc25a25","SLC25A25"
"90","Mus musculus","Tsc22d3","TSC22D3"
